"","id","BLOCK","QES","PAIR","BEST","WORST","RES.B","RES.W","RES","less","medium","high","less1","medium1","high1","less2","medium2","high2","less3","medium3","high3","STR"
"54",1,1,2,24,5,4,4,5,0,0,0,0,0,-1,1,1,-1,0,-1,1,0,1020
"55",1,1,2,25,5,6,4,5,0,0,1,-1,-1,0,1,1,-1,0,0,0,0,1020
"56",1,1,2,26,6,1,4,5,0,-1,0,1,1,-1,0,0,1,-1,0,0,0,1020
"57",1,1,2,27,6,2,4,5,0,-1,0,1,1,0,-1,0,0,0,0,1,-1,1020
"58",1,1,2,28,6,3,4,5,0,0,-1,1,0,0,0,0,1,-1,0,1,-1,1020
"59",1,1,2,29,6,4,4,5,0,0,-1,1,1,-1,0,0,0,0,-1,1,0,1020
"60",1,1,2,30,6,5,4,5,0,0,-1,1,1,0,-1,-1,1,0,0,0,0,1020
"61",1,1,3,1,1,2,3,1,0,0,0,0,1,-1,0,1,0,-1,1,-1,0,1030
"62",1,1,3,2,1,3,3,1,0,0,0,0,1,0,-1,1,-1,0,1,0,-1,1030
"63",1,1,3,3,1,4,3,1,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,1030
"64",1,1,3,4,1,5,3,1,0,1,0,-1,1,-1,0,0,0,0,1,0,-1,1030
"65",1,1,3,5,1,6,3,1,0,1,0,-1,1,0,-1,1,0,-1,0,0,0,1030
"66",1,1,3,6,2,1,3,1,0,0,0,0,-1,1,0,-1,0,1,-1,1,0,1030
"67",1,1,3,7,2,3,3,1,0,0,0,0,0,1,-1,0,-1,1,0,1,-1,1030
"68",1,1,3,8,2,4,3,1,0,1,-1,0,0,0,0,0,-1,1,-1,1,0,1030
"69",1,1,3,9,2,5,3,1,0,1,0,-1,0,0,0,-1,0,1,0,1,-1,1030
"70",1,1,3,10,2,6,3,1,0,1,0,-1,0,1,-1,0,0,0,-1,1,0,1030
"71",1,1,3,11,3,1,3,1,1,0,0,0,-1,0,1,-1,1,0,-1,0,1,1030
"72",1,1,3,12,3,2,3,1,0,0,0,0,0,-1,1,0,1,-1,0,-1,1,1030
"73",1,1,3,13,3,4,3,1,0,1,-1,0,0,-1,1,0,0,0,-1,0,1,1030
"74",1,1,3,14,3,5,3,1,0,1,0,-1,0,-1,1,-1,1,0,0,0,0,1030
"75",1,1,3,15,3,6,3,1,0,1,0,-1,0,0,0,0,1,-1,-1,0,1,1030
"76",1,1,3,16,4,1,3,1,0,-1,1,0,-1,1,0,-1,1,0,0,0,0,1030
"77",1,1,3,17,4,2,3,1,0,-1,1,0,0,0,0,0,1,-1,1,-1,0,1030
"78",1,1,3,18,4,3,3,1,0,-1,1,0,0,1,-1,0,0,0,1,0,-1,1030
"79",1,1,3,19,4,5,3,1,0,0,1,-1,0,0,0,-1,1,0,1,0,-1,1030
"80",1,1,3,20,4,6,3,1,0,0,1,-1,0,1,-1,0,1,-1,0,0,0,1030
"81",1,1,3,21,5,1,3,1,0,-1,0,1,-1,1,0,0,0,0,-1,0,1,1030
"82",1,1,3,22,5,2,3,1,0,-1,0,1,0,0,0,1,0,-1,0,-1,1,1030
"83",1,1,3,23,5,3,3,1,0,-1,0,1,0,1,-1,1,-1,0,0,0,0,1030
"84",1,1,3,24,5,4,3,1,0,0,-1,1,0,0,0,1,-1,0,-1,0,1,1030
"85",1,1,3,25,5,6,3,1,0,0,0,0,0,1,-1,1,0,-1,-1,0,1,1030
"86",1,1,3,26,6,1,3,1,0,-1,0,1,-1,0,1,-1,0,1,0,0,0,1030
"87",1,1,3,27,6,2,3,1,0,-1,0,1,0,-1,1,0,0,0,1,-1,0,1030
"88",1,1,3,28,6,3,3,1,0,-1,0,1,0,0,0,0,-1,1,1,0,-1,1030
"89",1,1,3,29,6,4,3,1,0,0,-1,1,0,-1,1,0,-1,1,0,0,0,1030
"90",1,1,3,30,6,5,3,1,0,0,0,0,0,-1,1,-1,0,1,1,0,-1,1030
"91",1,1,4,1,1,2,4,5,0,0,0,0,1,0,-1,1,-1,0,1,0,-1,1040
"92",1,1,4,2,1,3,4,5,0,1,-1,0,0,0,0,1,0,-1,1,0,-1,1040
"93",1,1,4,3,1,4,4,5,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,1040
"94",1,1,4,4,1,5,4,5,0,1,-1,0,1,0,-1,0,0,0,1,-1,0,1040
"95",1,1,4,5,1,6,4,5,0,1,0,-1,1,-1,0,0,0,0,1,0,-1,1040
"96",1,1,4,6,2,1,4,5,0,0,0,0,-1,0,1,-1,1,0,-1,0,1,1040
"97",1,1,4,7,2,3,4,5,0,1,-1,0,-1,0,1,0,1,-1,0,0,0,1040
"98",1,1,4,8,2,4,4,5,0,1,-1,0,0,-1,1,0,0,0,-1,0,1,1040
"99",1,1,4,9,2,5,4,5,0,1,-1,0,0,0,0,-1,1,0,0,-1,1,1040
"100",1,1,4,10,2,6,4,5,0,1,0,-1,0,-1,1,-1,1,0,0,0,0,1040
"101",1,1,4,11,3,1,4,5,0,-1,1,0,0,0,0,-1,0,1,-1,0,1,1040
"102",1,1,4,12,3,2,4,5,0,-1,1,0,1,0,-1,0,-1,1,0,0,0,1040
"103",1,1,4,13,3,4,4,5,0,0,0,0,1,-1,0,0,-1,1,-1,0,1,1040
"104",1,1,4,14,3,5,4,5,0,0,0,0,1,0,-1,-1,0,1,0,-1,1,1040
"105",1,1,4,15,3,6,4,5,0,0,1,-1,1,-1,0,-1,0,1,0,0,0,1040
"106",1,1,4,16,4,1,4,5,0,-1,1,0,-1,1,0,-1,1,0,0,0,0,1040
"107",1,1,4,17,4,2,4,5,0,-1,1,0,0,1,-1,0,0,0,1,0,-1,1040
"108",1,1,4,18,4,3,4,5,0,0,0,0,-1,1,0,0,1,-1,1,0,-1,1040
"109",1,1,4,19,4,5,4,5,1,0,0,0,0,1,-1,-1,1,0,1,-1,0,1040
"110",1,1,4,20,4,6,4,5,0,0,1,-1,0,0,0,-1,1,0,1,0,-1,1040
"111",1,1,4,21,5,1,4,5,0,-1,1,0,-1,0,1,0,0,0,-1,1,0,1040
"112",1,1,4,22,5,2,4,5,0,-1,1,0,0,0,0,1,-1,0,0,1,-1,1040
"113",1,1,4,23,5,3,4,5,0,0,0,0,-1,0,1,1,0,-1,0,1,-1,1040
"114",1,1,4,24,5,4,4,5,0,0,0,0,0,-1,1,1,-1,0,-1,1,0,1040
"115",1,1,4,25,5,6,4,5,0,0,1,-1,0,-1,1,0,0,0,0,1,-1,1040
"116",1,1,4,26,6,1,4,5,0,-1,0,1,-1,1,0,0,0,0,-1,0,1,1040
"117",1,1,4,27,6,2,4,5,0,-1,0,1,0,1,-1,1,-1,0,0,0,0,1040
"118",1,1,4,28,6,3,4,5,0,0,-1,1,-1,1,0,1,0,-1,0,0,0,1040
"119",1,1,4,29,6,4,4,5,0,0,-1,1,0,0,0,1,-1,0,-1,0,1,1040
"120",1,1,4,30,6,5,4,5,0,0,-1,1,0,1,-1,0,0,0,0,-1,1,1040
"121",1,1,5,1,1,2,4,5,0,1,-1,0,-1,1,0,0,0,0,0,1,-1,1050
"122",1,1,5,2,1,3,4,5,0,1,-1,0,0,0,0,0,-1,1,-1,1,0,1050
"123",1,1,5,3,1,4,4,5,0,1,0,-1,-1,1,0,0,-1,1,0,0,0,1050
"124",1,1,5,4,1,5,4,5,0,1,0,-1,0,0,0,-1,0,1,0,1,-1,1050
"125",1,1,5,5,1,6,4,5,0,1,0,-1,0,1,-1,0,0,0,-1,1,0,1050
"126",1,1,5,6,2,1,4,5,0,-1,1,0,1,-1,0,0,0,0,0,-1,1,1050
"127",1,1,5,7,2,3,4,5,0,0,0,0,1,-1,0,0,-1,1,-1,0,1,1050
"128",1,1,5,8,2,4,4,5,0,0,1,-1,0,0,0,0,-1,1,0,-1,1,1050
"129",1,1,5,9,2,5,4,5,0,0,1,-1,1,-1,0,-1,0,1,0,0,0,1050
"130",1,1,5,10,2,6,4,5,0,0,1,-1,1,0,-1,0,0,0,-1,0,1,1050
"131",1,1,5,11,3,1,4,5,0,-1,1,0,0,0,0,0,1,-1,1,-1,0,1050
"132",1,1,5,12,3,2,4,5,0,0,0,0,-1,1,0,0,1,-1,1,0,-1,1050
"133",1,1,5,13,3,4,4,5,0,0,1,-1,-1,1,0,0,0,0,1,-1,0,1050
"134",1,1,5,14,3,5,4,5,0,0,1,-1,0,0,0,-1,1,0,1,0,-1,1050
"135",1,1,5,15,3,6,4,5,0,0,1,-1,0,1,-1,0,1,-1,0,0,0,1050
"136",1,1,5,16,4,1,4,5,0,-1,0,1,1,-1,0,0,1,-1,0,0,0,1050
"137",1,1,5,17,4,2,4,5,0,0,-1,1,0,0,0,0,1,-1,0,1,-1,1050
"138",1,1,5,18,4,3,4,5,0,0,-1,1,1,-1,0,0,0,0,-1,1,0,1050
"139",1,1,5,19,4,5,4,5,1,0,0,0,1,-1,0,-1,1,0,0,1,-1,1050
"140",1,1,5,20,4,6,4,5,0,0,0,0,1,0,-1,0,1,-1,-1,1,0,1050
"141",1,1,5,21,5,1,4,5,0,-1,0,1,0,0,0,1,0,-1,0,-1,1,1050
"142",1,1,5,22,5,2,4,5,0,0,-1,1,-1,1,0,1,0,-1,0,0,0,1050
"143",1,1,5,23,5,3,4,5,0,0,-1,1,0,0,0,1,-1,0,-1,0,1,1050
"144",1,1,5,24,5,4,4,5,0,0,0,0,-1,1,0,1,-1,0,0,-1,1,1050
"145",1,1,5,25,5,6,4,5,0,0,0,0,0,1,-1,1,0,-1,-1,0,1,1050
"146",1,1,5,26,6,1,4,5,0,-1,0,1,0,-1,1,0,0,0,1,-1,0,1050
"147",1,1,5,27,6,2,4,5,0,0,-1,1,-1,0,1,0,0,0,1,0,-1,1050
"148",1,1,5,28,6,3,4,5,0,0,-1,1,0,-1,1,0,-1,1,0,0,0,1050
"149",1,1,5,29,6,4,4,5,0,0,0,0,-1,0,1,0,-1,1,1,-1,0,1050
"150",1,1,5,30,6,5,4,5,0,0,0,0,0,-1,1,-1,0,1,1,0,-1,1050
"151",1,1,6,1,1,2,3,1,0,0,0,0,1,-1,0,1,0,-1,1,-1,0,1060
"152",1,1,6,2,1,3,3,1,0,0,0,0,1,0,-1,1,-1,0,1,0,-1,1060
"153",1,1,6,3,1,4,3,1,0,1,-1,0,1,0,-1,0,0,0,1,-1,0,1060
"154",1,1,6,4,1,5,3,1,0,1,0,-1,0,0,0,1,-1,0,1,-1,0,1060
"155",1,1,6,5,1,6,3,1,0,1,0,-1,1,0,-1,1,0,-1,0,0,0,1060
"156",1,1,6,6,2,1,3,1,0,0,0,0,-1,1,0,-1,0,1,-1,1,0,1060
"157",1,1,6,7,2,3,3,1,0,0,0,0,0,1,-1,0,-1,1,0,1,-1,1060
"158",1,1,6,8,2,4,3,1,0,1,-1,0,0,1,-1,-1,0,1,0,0,0,1060
"159",1,1,6,9,2,5,3,1,0,1,0,-1,-1,1,0,0,-1,1,0,0,0,1060
"160",1,1,6,10,2,6,3,1,0,1,0,-1,0,1,-1,0,0,0,-1,1,0,1060
"161",1,1,6,11,3,1,3,1,1,0,0,0,-1,0,1,-1,1,0,-1,0,1,1060
"162",1,1,6,12,3,2,3,1,0,0,0,0,0,-1,1,0,1,-1,0,-1,1,1060
"163",1,1,6,13,3,4,3,1,0,1,-1,0,0,0,0,-1,1,0,0,-1,1,1060
"164",1,1,6,14,3,5,3,1,0,1,0,-1,-1,0,1,0,0,0,0,-1,1,1060
"165",1,1,6,15,3,6,3,1,0,1,0,-1,0,0,0,0,1,-1,-1,0,1,1060
"166",1,1,6,16,4,1,3,1,0,-1,1,0,-1,0,1,0,0,0,-1,1,0,1060
"167",1,1,6,17,4,2,3,1,0,-1,1,0,0,-1,1,1,0,-1,0,0,0,1060
"168",1,1,6,18,4,3,3,1,0,-1,1,0,0,0,0,1,-1,0,0,1,-1,1060
"169",1,1,6,19,4,5,3,1,0,0,1,-1,-1,0,1,1,-1,0,0,0,0,1060
"170",1,1,6,20,4,6,3,1,0,0,1,-1,0,0,0,1,0,-1,-1,1,0,1060
"171",1,1,6,21,5,1,3,1,0,-1,0,1,0,0,0,-1,1,0,-1,1,0,1060
"172",1,1,6,22,5,2,3,1,0,-1,0,1,1,-1,0,0,1,-1,0,0,0,1060
"173",1,1,6,23,5,3,3,1,0,-1,0,1,1,0,-1,0,0,0,0,1,-1,1060
"174",1,1,6,24,5,4,3,1,0,0,-1,1,1,0,-1,-1,1,0,0,0,0,1060
"175",1,1,6,25,5,6,3,1,0,0,0,0,1,0,-1,0,1,-1,-1,1,0,1060
"176",1,1,6,26,6,1,3,1,0,-1,0,1,-1,0,1,-1,0,1,0,0,0,1060
"177",1,1,6,27,6,2,3,1,0,-1,0,1,0,-1,1,0,0,0,1,-1,0,1060
"178",1,1,6,28,6,3,3,1,0,-1,0,1,0,0,0,0,-1,1,1,0,-1,1060
"179",1,1,6,29,6,4,3,1,0,0,-1,1,0,0,0,-1,0,1,1,-1,0,1060
