id,BLOCK,B1,W1,B2,W2,B3,W3,B4,W4,B5,W5,B6,W6,B7,W7,B8,W8,B9,W9,B10,W10,B11,W11,B12,W12
71,1,9,3,7,3,9,3,4,3,9,5,9,3,9,1,8,5,9,3,8,3,9,3,9,5
72,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
73,1,9,5,7,5,9,5,4,5,9,5,9,3,9,1,7,5,9,5,7,3,9,3,9,5
74,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
75,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
76,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
77,1,9,7,6,2,9,1,6,1,9,2,9,1,9,1,6,1,9,1,3,1,9,2,9,1
78,1,9,5,7,4,9,2,4,1,9,4,9,2,9,4,7,2,9,4,7,4,9,4,9,2
79,1,9,3,7,3,9,3,4,3,9,5,9,3,9,1,7,5,9,3,7,3,9,3,9,5
80,1,3,5,4,5,3,5,4,5,4,5,3,9,4,9,2,5,4,5,4,1,4,9,4,5
81,1,5,9,5,2,5,1,5,1,5,9,3,1,4,1,5,1,5,1,3,1,3,9,5,1
82,1,8,3,4,3,8,3,8,3,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
83,1,3,5,4,5,3,5,4,5,4,5,3,1,4,1,2,5,4,5,4,3,4,3,4,5
84,1,8,3,4,3,8,3,8,3,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
85,1,9,3,7,2,9,1,8,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
86,1,3,7,3,4,3,1,3,4,9,4,3,7,6,4,6,7,3,4,3,4,3,4,6,4
87,1,8,3,7,2,8,1,8,1,8,2,7,1,8,1,8,1,7,1,8,1,8,2,4,1
88,1,7,3,7,2,8,1,8,1,7,2,7,1,7,1,7,1,7,1,7,1,6,2,6,1
89,1,3,9,4,5,3,9,3,8,4,9,3,9,4,9,2,8,4,9,4,8,4,9,4,9
90,1,6,3,6,2,9,1,6,1,9,2,6,1,6,1,6,1,9,1,8,1,6,2,6,1
91,1,8,5,7,5,8,5,8,5,8,5,7,9,8,9,8,5,7,5,8,1,8,9,4,5
92,1,9,3,7,2,9,2,6,3,9,2,9,2,9,1,7,2,9,3,7,2,9,2,9,2
93,1,8,3,4,2,8,1,8,1,8,2,3,2,8,1,8,1,4,1,8,1,8,2,4,1
94,1,9,7,7,2,9,2,6,3,9,2,9,2,9,1,7,2,9,3,7,2,9,2,9,2
95,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
96,1,9,3,7,2,9,1,5,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
97,1,6,3,6,2,9,1,6,1,9,2,6,1,6,1,6,1,9,1,8,1,6,2,6,1
98,1,3,8,4,7,2,8,4,8,4,8,2,7,4,8,2,8,4,7,4,8,4,8,4,9
99,1,7,3,7,3,8,3,8,3,7,2,7,3,7,1,7,2,7,3,7,3,8,3,4,2
100,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
101,1,3,7,2,7,2,8,4,8,2,7,2,7,4,7,2,7,3,7,3,7,2,8,2,9
102,1,3,7,2,7,2,8,3,8,2,7,2,7,1,7,2,7,3,7,2,7,2,8,2,9
103,1,8,3,4,2,8,1,8,1,8,2,3,2,8,1,8,1,4,1,8,1,8,2,4,1
104,1,5,3,5,2,5,1,5,1,5,2,6,1,6,1,5,1,5,1,4,1,6,2,5,1
105,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
106,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
107,1,9,7,5,7,9,1,5,1,9,7,9,1,9,1,5,1,9,1,3,1,9,8,9,1
108,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
109,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
110,1,3,8,2,6,2,8,3,6,2,8,2,6,9,8,2,8,9,1,2,8,2,8,2,6
111,1,8,5,6,5,8,5,8,5,8,5,6,7,8,7,8,5,3,5,8,7,8,4,6,5
112,1,9,8,2,6,2,8,3,8,2,8,2,6,9,8,2,8,9,1,2,8,2,8,2,6
113,1,8,3,6,2,8,1,8,1,8,2,6,1,8,1,8,1,3,1,8,1,8,2,6,1
114,1,8,3,4,2,8,1,8,1,8,2,3,2,8,1,8,1,4,1,8,1,8,2,4,1
115,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
116,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
117,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
